id_virtual,lsm_model,grupo,lsm_liwc
00-832_GINS_vs_STEI,0.92379757679296,SCOTUS,0.89
00-832_GINS_vs_STEV,0.8478991576722109,SCOTUS,0.86
00-832_GINS_vs_BREY,0.848770861337254,SCOTUS,0.83
00-832_KENN_vs_KEIS,0.8659787072916658,SCOTUS,0.87
00-832_KENN_vs_STEI,0.8168910982976008,SCOTUS,0.83
00-832_KENN_vs_STEV,0.8634010375243277,SCOTUS,0.87
00-832_KENN_vs_BREY,0.8560485081163771,SCOTUS,0.88
00-832_KEIS_vs_STEI,0.8883820469647534,SCOTUS,0.89
00-832_KEIS_vs_STEV,0.8546799336931961,SCOTUS,0.85
00-832_KEIS_vs_BREY,0.8299586055420713,SCOTUS,0.84
00-832_STEI_vs_STEV,0.8471219337940038,SCOTUS,0.87
00-832_STEI_vs_BREY,0.8810472742119783,SCOTUS,0.87
00-832_STEV_vs_BREY,0.8613243787036937,SCOTUS,0.9
01-714_REHN_vs_LEE0,0.9033140132285054,SCOTUS,0.88
01-714_REHN_vs_CONN,0.9064050768316949,SCOTUS,0.9
01-714_REHN_vs_KENN,0.8973309039267867,SCOTUS,0.92
01-714_REHN_vs_SOUT,0.9293734268325383,SCOTUS,0.87
01-714_REHN_vs_SCAL,0.879605008549879,SCOTUS,0.87
01-714_REHN_vs_GINS,0.7828587564600832,SCOTUS,0.81
01-714_REHN_vs_BREY,0.9052799568412243,SCOTUS,0.91
01-714_REHN_vs_DELL,0.8852914339467711,SCOTUS,0.89
01-714_REHN_vs_OLSO,0.8350511735751993,SCOTUS,0.81
01-714_LEE0_vs_CONN,0.9264880487291941,SCOTUS,0.92
01-714_LEE0_vs_KENN,0.8732713499047801,SCOTUS,0.88
01-714_LEE0_vs_SOUT,0.9053525491005789,SCOTUS,0.9
01-714_LEE0_vs_SCAL,0.8425931029534597,SCOTUS,0.82
01-714_LEE0_vs_GINS,0.7857265439645,SCOTUS,0.82
01-714_LEE0_vs_BREY,0.8573163549059853,SCOTUS,0.84
01-714_LEE0_vs_DELL,0.9078578800811488,SCOTUS,0.92
01-714_LEE0_vs_OLSO,0.9273023400823648,SCOTUS,0.92
01-714_CONN_vs_KENN,0.9340261003176714,SCOTUS,0.94
01-714_CONN_vs_SOUT,0.9183380883178774,SCOTUS,0.94
