id_virtual,lsm_model,grupo,lsm_liwc
01-714_KENN_vs_SOUT,0.9028588622865691,SCOTUS,0.93
01-714_KENN_vs_SCAL,0.8966460808912207,SCOTUS,0.86
01-714_KENN_vs_GINS,0.8337746916218483,SCOTUS,0.84
01-714_KENN_vs_BREY,0.9329719242622079,SCOTUS,0.93
01-714_KENN_vs_DELL,0.8998562178696135,SCOTUS,0.93
01-714_KENN_vs_OLSO,0.814488088021364,SCOTUS,0.83
01-714_SOUT_vs_SCAL,0.8398250429915509,SCOTUS,0.83
01-714_SOUT_vs_GINS,0.8048107892738179,SCOTUS,0.84
01-714_SOUT_vs_BREY,0.9178759671176642,SCOTUS,0.87
01-714_SOUT_vs_DELL,0.921328588778326,SCOTUS,0.92
01-714_SOUT_vs_OLSO,0.8546287368573207,SCOTUS,0.85
01-714_SCAL_vs_GINS,0.8587122100272289,SCOTUS,0.89
01-714_SCAL_vs_BREY,0.8556657459397028,SCOTUS,0.86
01-714_SCAL_vs_DELL,0.853285021296982,SCOTUS,0.85
01-714_SCAL_vs_OLSO,0.7672803658839018,SCOTUS,0.79
01-714_GINS_vs_BREY,0.7891358742544874,SCOTUS,0.81
01-714_GINS_vs_DELL,0.8507160672755993,SCOTUS,0.86
01-714_GINS_vs_OLSO,0.7785781509996275,SCOTUS,0.78
01-714_BREY_vs_DELL,0.8847910874365198,SCOTUS,0.89
01-714_BREY_vs_OLSO,0.785982495082087,SCOTUS,0.79
01-714_DELL_vs_OLSO,0.8523492379295353,SCOTUS,0.85
00-9285_REHN_vs_WAGN,0.8765659773739327,SCOTUS,0.85
00-9285_REHN_vs_BREY,0.8529524137746638,SCOTUS,0.84
00-9285_REHN_vs_GINS,0.8111941949284596,SCOTUS,0.82
00-9285_REHN_vs_KENN,0.8875384835243924,SCOTUS,0.89
00-9285_REHN_vs_STEV,0.8702644505862576,SCOTUS,0.86
00-9285_REHN_vs_SCAL,0.8057519027994361,SCOTUS,0.81
00-9285_REHN_vs_SOUT,0.8827033803288451,SCOTUS,0.84
00-9285_REHN_vs_HARR,0.8911704030985532,SCOTUS,0.86
00-9285_REHN_vs_GORN,0.8051967206479174,SCOTUS,0.8
00-9285_WAGN_vs_BREY,0.7722600789852765,SCOTUS,0.8
00-9285_WAGN_vs_GINS,0.8583792236531214,SCOTUS,0.87
