archivo,lsm_model,grupo,lsm_liwc
sw4241-ms98-a.phrases,0.879967017207402,SW_PROCESSED,0.82
sw4254-ms98-a.phrases,0.9258080567709317,SW_PROCESSED,0.9
sw4265-ms98-a.phrases,0.8619898988532704,SW_PROCESSED,0.87
sw4281-ms98-a.phrases,0.9374470826511048,SW_PROCESSED,0.92
sw4285-ms98-a.phrases,0.880909797699148,SW_PROCESSED,0.93
sw4293-ms98-a.phrases,0.8843951669537682,SW_PROCESSED,0.89
sw4298-ms98-a.phrases,0.834737461231253,SW_PROCESSED,0.88
sw4300-ms98-a.phrases,0.8577745332582629,SW_PROCESSED,0.83
sw4303-ms98-a.phrases,0.8738015102277098,SW_PROCESSED,0.9
sw4304-ms98-a.phrases,0.8496044964697336,SW_PROCESSED,0.82
sw4322-ms98-a.phrases,0.8954347797276487,SW_PROCESSED,0.93
sw4356-ms98-a.phrases,0.9327679945086919,SW_PROCESSED,0.9
sw4368-ms98-a.phrases,0.912918486822373,SW_PROCESSED,0.93
sw4501-ms98-a.phrases,0.8129358830915447,SW_PROCESSED,0.89
sw4522-ms98-a.phrases,0.8885386186562207,SW_PROCESSED,0.91
sw4523-ms98-a.phrases,0.8847487073345579,SW_PROCESSED,0.92
sw4540-ms98-a.phrases,0.8580447751402309,SW_PROCESSED,0.84
sw4565-ms98-a.phrases,0.937338888754168,SW_PROCESSED,0.9
sw4576-ms98-a.phrases,0.9442956260904801,SW_PROCESSED,0.92
sw4588-ms98-a.phrases,0.8562566738851602,SW_PROCESSED,0.87
sw4590-ms98-a.phrases,0.8768140904861778,SW_PROCESSED,0.88
sw4616-ms98-a.phrases,0.8793723010073631,SW_PROCESSED,0.85
sw4643-ms98-a.phrases,0.7772047422102574,SW_PROCESSED,0.82
sw4660-ms98-a.phrases,0.8841718769145821,SW_PROCESSED,0.89
sw4765-ms98-a.phrases,0.8835313480348136,SW_PROCESSED,0.87
sw4785-ms98-a.phrases,0.8585670670686811,SW_PROCESSED,0.83
sw4814-ms98-a.phrases,0.8064182693372753,SW_PROCESSED,0.85
sw4821-ms98-a.phrases,0.8731832922321906,SW_PROCESSED,0.84
sw4837-ms98-a.phrases,0.884273558535619,SW_PROCESSED,0.88
sw4846-ms98-a.phrases,0.8877549695164233,SW_PROCESSED,0.84
