id_virtual,lsm_liwc
01-518_CONN_vs_KENN,0.88
01-518_CONN_vs_WALL,0.83
01-518_BREY_vs_GINS,0.91
01-518_BREY_vs_SOUT,0.93
01-518_BREY_vs_STEV,0.86
01-518_BREY_vs_SCAL,0.89
01-518_BREY_vs_KENN,0.94
01-518_BREY_vs_WALL,0.81
01-518_GINS_vs_SOUT,0.85
01-518_GINS_vs_STEV,0.83
01-518_GINS_vs_SCAL,0.91
01-518_GINS_vs_KENN,0.88
01-518_GINS_vs_WALL,0.81
01-518_SOUT_vs_STEV,0.9
01-518_SOUT_vs_SCAL,0.92
01-518_SOUT_vs_KENN,0.93
01-518_SOUT_vs_WALL,0.82
01-518_STEV_vs_SCAL,0.89
01-518_STEV_vs_KENN,0.89
01-518_STEV_vs_WALL,0.88
01-518_SCAL_vs_KENN,0.88
01-518_SCAL_vs_WALL,0.84
01-518_KENN_vs_WALL,0.84
01-682_ROBB_vs_CONN,0.89
01-682_ROBB_vs_REHN,0.84
01-682_ROBB_vs_KENN,0.88
01-682_ROBB_vs_SCAL,0.81
01-682_ROBB_vs_BREY,0.84
01-682_ROBB_vs_GINS,0.85
01-682_ROBB_vs_GARR,0.89
01-682_ROBB_vs_NELS,0.93
01-682_CONN_vs_REHN,0.87
01-682_CONN_vs_KENN,0.83
01-682_CONN_vs_SCAL,0.78
01-682_CONN_vs_BREY,0.82
01-682_CONN_vs_GINS,0.87
01-682_CONN_vs_GARR,0.8
01-682_CONN_vs_NELS,0.85
01-682_REHN_vs_KENN,0.82
01-682_REHN_vs_SCAL,0.81
01-682_REHN_vs_BREY,0.89
01-682_REHN_vs_GINS,0.91
01-682_REHN_vs_GARR,0.74
01-682_REHN_vs_NELS,0.78
01-682_KENN_vs_SCAL,0.82
01-682_KENN_vs_BREY,0.82
01-682_KENN_vs_GINS,0.83
01-682_KENN_vs_GARR,0.79
01-682_KENN_vs_NELS,0.83
01-682_SCAL_vs_BREY,0.88
01-682_SCAL_vs_GINS,0.85
01-682_SCAL_vs_GARR,0.75
01-682_SCAL_vs_NELS,0.77
01-682_BREY_vs_GINS,0.89
01-682_BREY_vs_GARR,0.75
01-682_BREY_vs_NELS,0.78
01-682_GINS_vs_GARR,0.75
01-682_GINS_vs_NELS,0.79
01-682_GARR_vs_NELS,0.94
